owner_id, project_name, commit_hash, old_val, new_val
10585786,pipeline,e13407ad7ec1e71eedcc9a51b26ad6db9c3f32dd,ninai/pipeline:DLC2.0.5-gpu,ninai/pipeline:DLC2.0.5-GPU
10585786,pipeline,e13407ad7ec1e71eedcc9a51b26ad6db9c3f32dd,ninai/pipeline:DLC2.0.5-gpu,ninai/pipeline:DLC2.0.5-GPU
10585786,pipeline,f0b26ddfae547b996bbad0e9022befd44bdf1f19,ninai/pipeline:DLC2.0.5-GPU,ninai/pipeline:latest
10585786,pipeline,f0b26ddfae547b996bbad0e9022befd44bdf1f19,ninai/pipeline:DLC2.0.5-GPU,ninai/pipeline:latest
10585786,pipeline,f0b26ddfae547b996bbad0e9022befd44bdf1f19,ninai/pipeline:DLC2.0.5-GPU,ninai/stimulus-pipeline:latest
10585786,pipeline,cdccf0c86183a414adc8e296e753fb077f9ed44f,ninai/pipeline:latest,ninai/stimulus-pipeline:latest
10585786,pipeline,cdccf0c86183a414adc8e296e753fb077f9ed44f,ninai/stimulus-pipeline,ninai/pipeline:tf-gpu
10585786,pipeline,cdccf0c86183a414adc8e296e753fb077f9ed44f,ninai/pipeline:latest,ninai/stimulus-pipeline:latest
10612409,rest-api,7fc9d983fb9af6dc38e3b3a89cb9086efcb0bff7,mysql,mysql:latest
10612409,rest-api,94b77db0eaa07bec7afb0cfd127fcfd65aaf7959,mysql,mysql:5.7
1061817,trenurbanoapp,b11e8add5d6a0e5871f440fdb2965a506f82904a,mdillon/postgis:9.5,mdillon/postgis:9.6
10631909,talkpocket,9f24d5a6ed63d918e890f93ba14575597a3ae668,minio/minio,minio/minio:RELEASE.2016-10-07T01-16-39Z
106542,twilreapi,999fa47d36549c20c3e5248841ab34691493e1b1,dwilkie/twilreapi:${TAG:-latest},dwilkie/twilreapi:spec
10663333,dbmate,d855ee1adae0d2a8beb14c45fcad8696752fe84f,mysql,mysql:5.7
10663333,dbmate,d855ee1adae0d2a8beb14c45fcad8696752fe84f,postgres,postgres:9.6
10697670,Teamkerbell,c521304604dc8bcb934daddc92ad428cdc21ff74,seongahjo/teamkerbell:0.7,seongahjo/teamkerbell:latest
10714188,Karhu,df93a4c700f7abb8d31866cd3b8bb0cfa4cf58b7,kibana,kibana:latest
10714188,Karhu,df93a4c700f7abb8d31866cd3b8bb0cfa4cf58b7,mongo,mongo:latest
10714188,Karhu,df93a4c700f7abb8d31866cd3b8bb0cfa4cf58b7,elasticsearch,elasticsearch:latest
10714188,Karhu,0b33e946f15f737c7c9ffae015456bde5d50101d,kibana:latest,kibana
10714188,Karhu,0b33e946f15f737c7c9ffae015456bde5d50101d,elasticsearch:latest,elasticsearch
10714188,Karhu,1938ce02e8f73a9f72d3ba1b93cb202c1ff8c05f,kibana,kibana:latest
10714188,Karhu,1938ce02e8f73a9f72d3ba1b93cb202c1ff8c05f,elasticsearch,elasticsearch:latest
10714188,Karhu,cb0d1b22ed1fc6a60a59c351b87d98a56f5384a8,kibana:latest,kibana
10714188,Karhu,cb0d1b22ed1fc6a60a59c351b87d98a56f5384a8,mongo:latest,mongo
10714188,Karhu,cb0d1b22ed1fc6a60a59c351b87d98a56f5384a8,elasticsearch:latest,elasticsearch
10714188,Karhu,5916ee809fbdb2eb0841f4a278119c86ca2f7e48,elasticsearch,elasticsearch:latest
10714188,Karhu,5916ee809fbdb2eb0841f4a278119c86ca2f7e48,kibana,kibana:latest
10714188,Karhu,5916ee809fbdb2eb0841f4a278119c86ca2f7e48,mongo,mongo:latest
10722379,hekate,732214d8d2253de199b7f0fca0b48f1f55b8d66e,influxdb:1.1.1,influxdb:1.2.4-alpine
10722379,hekate,b82a05094b2f62e0f600c5ca0e561e2512452aa1,influxdb:1.2.4-alpine,influxdb:1.3.7-alpine
10722379,hekate,d84b345eab11f14ce795f3013e6b4059da358405,influxdb:1.3.7-alpine,influxdb:1.5.2-alpine
10751,search_api_solr_multilingual,b9e98eb3c18099a2ebb5459168dc38a3121b244f,solr:6.0,solr:6.6
1085053,pystock,aeb664d4a0fea35f78ced590b3b351c087a13bd9,stock,pystock
10860098,bandiera,06ada94534f2beba7776e12cd8308c3968cc899e,postgres,postgres:alpine
10870100,chat,704baa37b3abdcfe816609e0767125abba782861,mdillon/postgis:9.4,mdillon/postgis:9.5
10886954,letsmeet.click,1e6e2a899ac7c0744203793c379aba7279077a62,postgres:9.4,mdillon/postgis:9.4
10910753,webui-aria2,15ad0ede2b498d5e21d9e60a8c02d113d2614102,timonier/webui-aria2,timonier/webui-aria2:latest
10910753,webui-aria2,15ad0ede2b498d5e21d9e60a8c02d113d2614102,timonier/aria2:1.18.8,timonier/aria2:latest
10915227,sailvenice,427e2606ec3839e60c65ad8a552ebcb57d3692da,phototech/varnish,davidbarratt/varnish
10915227,sailvenice,32a5f97877a8c7f1afc16da6ee0b35d134a87e38,phototech/sailvenice,docker.davidwbarratt.com/phototech/sailvenice
1091954,Sefarad,dcd81618ca2b89e5f53ae35758b02b4699752540,elasticsearch,docker.elastic.co/elasticsearch/elasticsearch:5.5.2
11018478,arg3db,0468eacc9df03abc9b69ce14d61b69dbb5c163bf,mysql:5.6,mysql
