changed_feature,status,commit_hash,,comment,,persistdataintohost,sharing between component,sharing host data with container,unkown
image,values_changed,9cf36e0c0737e09f1a30418718a3fa2cac0b7224,https://github.com/search?q=9cf36e0c0737e09f1a30418718a3fa2cac0b7224&type=Commits,image changed,,,,,
volumes,values_changed,d798e08780d63525c2a09dd50923d863048b2217,https://github.com/search?q=d798e08780d63525c2a09dd50923d863048b2217&type=Commits,unknown,,,,,
volumes,iterable_item_added,22b586798376c3fc6d10e10044885de284142d2f,https://github.com/search?q=22b586798376c3fc6d10e10044885de284142d2f&type=Commits,new volume added,,,,1,
image,dictionary_item_removed,a481e264120cd0bfcb39adc811347f2de8047510,https://github.com/search?q=a481e264120cd0bfcb39adc811347f2de8047510&type=Commits,official image replaced with manually built image,,,,,
image,values_changed,e2e90d92aac13be8cd548443bce4f7458189c701,https://github.com/search?q=e2e90d92aac13be8cd548443bce4f7458189c701&type=Commits,image digest sha changed,,,,,
volumes,dictionary_item_added,fdabd262f4011ec09b81ac561935344368e35f98,https://github.com/search?q=fdabd262f4011ec09b81ac561935344368e35f98&type=Commits,fixed named volume syntax,,,,,1
volumes,iterable_item_added,9a2753ecff102201f820a31c2fd587e084fa0de7,https://github.com/search?q=9a2753ecff102201f820a31c2fd587e084fa0de7&type=Commits,new volumes added,,,,,1
volumes,values_changed,62a96bd97d3e39903cf06cfb594b04b37b75ebad,https://github.com/search?q=62a96bd97d3e39903cf06cfb594b04b37b75ebad&type=Commits,host volume path changed,,,,,
image,values_changed,6de8a22e194b6dbffd0693837c95e89810f0e384,https://github.com/search?q=6de8a22e194b6dbffd0693837c95e89810f0e384&type=Commits,image name changed to appropriate one,,,,,
image,values_changed,26d2d3e79e7233a3d4584abf1ecb6ea783aa1d7e,https://github.com/search?q=26d2d3e79e7233a3d4584abf1ecb6ea783aa1d7e&type=Commits,used a different image,,,,,
image,values_changed,f9e6be3a82d780998aed02242a5ecb7f0760d208,https://github.com/search?q=f9e6be3a82d780998aed02242a5ecb7f0760d208&type=Commits,image version changed,,,,,
